SFR	SD_GAS
0.002409	4.223
0.00198	4.089
0.00231	4.073
0.001874	2.276
0.001717	2.182
0.002033	2.131
0.003802	5.761
0.002813	2.665
0.004437	4.994
0.003509	3.449
0.004726	5.003
0.002845	3.996
0.005537	6.59
0.007216	4.223
0.008233	4.719
0.002167	4.096
0.01127	7.298
0.009888	4.502
0.004365	3.579
0.002294	1.492
0.002956	3.045
0.003032	2.702
0.004122	2.55
0.002312	1.015
0.002523	1.747
0.003532	2.463
0.002306	2.333
0.005319	2.294
0.004341	1.789
0.002442	1.388
0.002621	0.6715
0.003153	2.074
0.00367	2.272
0.001259	0.2135
0.003909	1.479
0.004255	0.9358
0.002272	0.3602
0.001148	0.2513
0.001199	1.114
0.001208	1.175
0.002142	1.719
0.001683	0.4226
0.001799	1.041
0.0573	153.6
0.008136	35.2
0.007327	28.1
0.006644	39.62
0.01213	42.77
0.008237	46.77
0.01167	39.81
0.002493	16.31
0.001726	8.917
0.003994	18.09
0.003488	16.39
0.004239	18.42
0.002327	11.16
0.003028	14.73
0.002299	15.66
0.006296	19.84
0.001735	11.46
0.003912	15.09
0.004861	15.36
0.005109	16.96
0.005531	16.1
0.002776	13.11
0.001989	11.82
0.00262	14.4
0.005013	18.58
0.008002	22.65
0.006263	15.88
0.003621	11.38
0.002268	6.852
0.002685	13.76
0.00365	12.97
0.004361	16.76
0.01218	19.33
0.003588	13.59
0.008927	25.12
0.01051	28.32
0.01177	19.81
0.002433	4.45
0.002811	15.05
0.003409	12.55
0.004237	17.53
0.007905	16.6
0.01228	30.93
0.008771	24.96
0.01222	25.27
0.01271	24.28
0.001672	7.584
0.003176	13.28
0.01413	29.93
0.03702	36.04
0.005508	12.97
0.005141	16.05
0.004406	8.837
0.01021	17.03
0.01199	21.68
0.004887	15.25
0.001949	5.164
0.01003	19.49
0.001853	7.866
0.002336	5.644
0.008183	15.0
0.00389	9.994
0.007954	16.5
0.01237	29.47
0.0122	21.87
0.00361	9.714
0.01242	24.56
